ipopt_zL_out
Variable noncollocation_error
0.12 -6.141441448103279e-14
0.126202 -6.166481763272626e-14
0.145798 -6.237583422482859e-14
0.16 -6.281162201718264e-14
0.166202 -6.297060858074293e-14
0.185798 -6.338210507932397e-14
0.2 -6.359238702046587e-14
0.206202 -6.415665554475531e-14
0.225798 -6.597714389808439e-14
0.24 -6.733306869029511e-14
0.246202 -6.790611589407338e-14
0.265798 -6.97500377863986e-14
0.28 -7.111864955840848e-14
0.286202 -7.170088176518155e-14
0.305798 -7.357025047722182e-14
0.32 -7.495383690752583e-14
0.326202 -7.55469876940629e-14
0.345798 -7.744845468713165e-14
0.36 -7.885310308227258e-14
0.366202 -7.946062477718152e-14
0.385798 -8.140675625500649e-14
0.4 -8.284330930036427e-14
0.406202 -8.3470841501314e-14
0.425798 -8.54816381082814e-14
0.44 -8.696682917100612e-14
0.446202 -8.762277789249386e-14
0.465798 -8.972756532129036e-14
0.48 -9.128545148519548e-14
0.486202 -9.198173961638049e-14
0.505798 -9.422166440949006e-14
0.52 -9.588557385821233e-14
